roi_number,Area,Biovolume,EquivDiameter,MajorAxisLength,winner,id,name,international_id
888,247,1550.375975,17.73387063,28.025381199999998,mix,25.0,mix,
889,652,7132.721191,28.81236164,44.62925778,mix,25.0,mix,
890,241,1811.918579,17.51715531,22.08007288,mix,25.0,mix,
891,259,2671.139154,18.1595441,19.55511591,Rhizosolenia,18.0,Rhizosolenia,149069.0
892,224,2060.8847809999997,16.88803298,20.29076914,mix,25.0,mix,
893,306,2815.652416,19.73857393,24.18408211,mix,25.0,mix,
894,201,1751.437904,15.997535699999998,18.96316071,mix,25.0,mix,
895,223,1595.5196529999998,16.85029431,22.86208629,,,,
896,620,5846.450195,28.09641468,43.24335922,mix,25.0,mix,
897,679,9804.125274,29.40288508,36.75743112,Pseudonitzschia,,,
898,369,3901.072678,21.67545598,25.84642523,detritus,23.0,detritus,
900,214,1765.575071,16.50676415,19.51235586,,,,
901,572,7095.287008,26.98690459,35.44599833,mix,25.0,mix,
902,170,814.8705444,14.71226436,28.697074600000004,mix,25.0,mix,
905,197,1523.672437,15.83755632,18.20761419,mix,25.0,mix,
907,199,1993.340539,15.917747,18.30687011,mix,25.0,mix,
908,500,8406.901941,25.23132522,27.02003062,mix,25.0,mix,
909,233,1937.5772690000001,17.22396046,20.80672158,mix,25.0,mix,
911,476,6697.090139,24.61832698,25.89114641,mix,25.0,mix,
913,326,2565.716064,20.3734163,30.63582342,,,,
915,187,1626.559596,15.43035304,16.55964257,,,,
916,575,8958.251452,27.057581899999995,30.44663524,,,,
918,236,2276.083878,17.33448968,18.44171666,mix,25.0,mix,
919,240,2467.721029,17.48077489,19.570962899999998,,,,
920,409,3649.745265,22.82005639,33.17728927,mix,25.0,mix,
921,348,2881.6258620000003,21.04964041,30.93907742,mix,25.0,mix,
922,207,1180.45344,16.23454914,24.9929392,mix,25.0,mix,
923,243,1757.2366940000002,17.58969043,25.49148968,mix_elongated,,,
926,973,14221.20454,35.19747259,51.55333321,mix,25.0,mix,
927,269,2565.8958,18.50679436,21.57111097,mix,25.0,mix,
928,327,2686.8471170000003,20.40463994,28.95370671,mix,25.0,mix,
930,245,2138.6391989999997,17.66192765,20.74696472,mix,25.0,mix,
931,259,2818.794008,18.1595441,20.21489628,mix,25.0,mix,
933,548,7931.736051999999,26.41467907,29.09160007,Gyrodinium,31.0,Gyrodinium,109476.0
935,48812,1781948.25,249.29775099999998,1127.518208,,,,
936,5970,3645.688232,87.18509094,115.20386529999999,,,,
