roi_number,Area,Biovolume,EquivDiameter,MajorAxisLength,MinorAxisLength,winner,id,name,international_id
1334,445,607.3858032,23.80318461,89.82941599,6.909440435,mix_elongated,,,
1335,482,4954.291615,24.77299862,35.9018516,18.620995399999998,mix,25.0,mix,
1336,343,2820.364805,20.89787463,31.21721542,15.15610553,mix,25.0,mix,
1337,283,3099.966551,18.98227571,19.65532463,18.99094581,mix,25.0,mix,
1338,382,4265.497425,22.05396804,25.67478951,19.96684059,mix,25.0,mix,
1339,559,7145.5524909999995,26.6784727,34.51556085,22.01437278,mix,25.0,mix,
1341,580,7240.585668000001,27.17496892,35.84763098,21.28768996,mix,25.0,mix,
1342,1679,8760.714844,46.23601622,286.02710160000004,8.381182625,Pseudonitzschia,,,
1343,663,11196.63622,29.05439413,30.37973857,28.330305600000003,mix,25.0,mix,
1345,508,6924.070209,25.43237481,28.93281209,22.94354287,mix,25.0,mix,
1349,305,2272.156887,19.70629496,29.42234691,13.67093775,mix,25.0,mix,
1350,3494,28648.242189999997,66.69856797,367.89070760000004,12.75692891,Pseudonitzschia,,,
1351,599,9031.293481,27.61648941,30.81746107,25.48597709,mix,25.0,mix,
1353,398,4641.703146,22.51109368,27.31987015,21.46311938,detritus,23.0,detritus,
1354,572,7863.406412,26.98690459,32.15462129,23.18823897,mix,25.0,mix,
1355,571,7878.328976999999,26.96330432,32.56670627,24.67324416,mix,25.0,mix,
1356,2206,36316.41797,52.99779652,109.04770359999999,42.18563864,Dactyliosolen,,,
1357,285,2580.032967,19.049232800000002,23.33024325,16.15260716,mix,25.0,mix,
1359,1307,24451.80102,40.79367702,56.97406225,30.42375328,Thalassiosira,21.0,Thalassiosira,148912.0
1360,448,5924.258347,23.88328529,25.67645567,22.3182509,mix,25.0,mix,
1363,640,10392.3885,28.54598586,33.19069445,27.17807768,mix,25.0,mix,
1365,543,7047.37772,26.29389801,34.14386186,21.584496899999998,mix,25.0,mix,
1366,543,8637.809001000001,26.29389801,27.10700686,26.68930671,mix,25.0,mix,
1367,4615,1886.221924,76.65507484,130.3958956,66.49861338,Phaeocystis,35.0,Phaeocystis,115088.0
1368,365,2694.248047,21.55765372,34.98066998,17.71441233,detritus,23.0,detritus,
1371,8711,326011.1875,105.3147173,185.45222980000003,62.83538842,Ditylum,,,
1372,8253,295681.0625,102.5087604,201.74189980000003,59.68178823,Licmophora,34.0,Licmophora,149342.0
1374,421,2835.49292,23.15240481,50.48507195,11.20695567,mix_elongated,,,
1375,285,1984.2634280000002,19.049232800000002,32.66135993,12.18558604,mix,25.0,mix,
1376,453,5577.112357999999,24.01619274,27.26295949,21.37807429,mix,25.0,mix,
1378,365,3454.181123,21.55765372,29.23528784,16.77149227,mix,25.0,mix,
1379,393,4538.815986,22.36924543,26.66027122,20.46696011,mix,25.0,mix,
1380,729,10334.26903,30.46623751,40.09450446,24.02483977,mix,25.0,mix,
1381,2722,49743.57813,58.87068915,103.4945725,38.2396514,Dinobryon,9.0,Dinobryon,157240.0
1382,772,11863.43926,31.35188876,40.41047791,25.51772135,Chaetoceros,3.0,Chaetoceros,148985.0
1384,253,2222.676802,17.94796938,21.42735418,15.30482046,mix,25.0,mix,
1386,703,12191.735690000001,29.9180113,34.12938956,29.30067606,detritus,23.0,detritus,
1388,541,7715.751557,26.24542996,29.35820574,23.60743135,mix,25.0,mix,
1390,503,6470.895468,25.30690599,29.90853582,21.74175627,mix,25.0,mix,
1391,5696,55631.04297,85.16086218,490.6370774,31.63520042,Hemiaulus,48.0,Hemiaulus,-999.0
1392,316,3001.791781,20.05850683,24.41928259,16.93947521,mix,25.0,mix,
1393,9432,477181.2205,109.58647450000001,158.6605457,76.8916381,Paralia,,,
1394,881,9175.651367,33.49214891,47.11154659,30.94772267,detritus,23.0,detritus,
1395,484,6595.773776,24.82434168,26.57129138,23.65984474,mix,25.0,mix,
1396,355,4246.647868999999,21.26029253,22.46557718,20.41964995,mix,25.0,mix,
1397,1378,21938.37695,41.88703967,58.6046286,33.30940603,detritus,23.0,detritus,
1399,408,4617.355803,22.79214194,28.01976274,19.86650151,mix,25.0,mix,
1401,512,6807.045881999999,25.53230595,29.63159809,22.30047142,mix,25.0,mix,
1402,458,4804.280565999999,24.14836871,32.28196344,18.2756246,mix,25.0,mix,
1403,822,15724.45663,32.35124272,34.10007069,30.90487748,mix,25.0,mix,
1404,593,3042.74292,27.47782834,112.07342,8.804696921,mix_elongated,,,
1405,365,3120.59082,21.55765372,26.99349162,19.29381018,detritus,23.0,detritus,
1408,13973,446.7513123,133.38281809999998,293.2695129,110.2484186,Corethron,,,
1410,679,6428.944336,29.40288508,56.54925697,16.95913706,mix_elongated,,,
1412,267,2234.457775,18.43786751,23.37513748,14.65546304,mix,25.0,mix,
1414,4761,72208.46875,77.85816253,277.75038989999996,26.69615943,DactFragCerataul,,,
1415,1959,33523.05469,49.94272988,82.11962565,33.55622901,Chaetoceros,3.0,Chaetoceros,148985.0
1416,529,7785.651994,25.95272084,27.59146189,24.65841193,mix,25.0,mix,
1418,753,9133.395242,30.96367835,47.96612079,21.20245891,mix,25.0,mix,
1419,2482,34221.64063,56.21548319,140.2171228,26.50973569,Chaetoceros,3.0,Chaetoceros,148985.0
1420,396,4311.835917,22.45446191,27.53014375,18.9580291,mix,25.0,mix,
1423,487,5467.156615,24.90115777,34.01241303,19.76044773,mix,25.0,mix,
1424,579,7641.924129999999,27.15153212,34.25363228,22.46008602,mix,25.0,mix,
1426,481,7027.742765999999,24.74728714,25.53784977,24.093494,mix,25.0,mix,
1427,542,7262.576817,26.26967516,30.43636624,22.90942403,mix,25.0,mix,
1428,706,9067.321289,29.98177978,37.76221609,26.05709368,mix,25.0,mix,
1429,574,9433.417341,27.03404333,29.31452007,27.48420939,detritus,23.0,detritus,
1430,273,2387.6104170000003,18.643883600000002,22.93246839,15.54664546,mix,25.0,mix,
1432,790,13149.13605,31.71528402,36.75705628,28.43092852,mix,25.0,mix,
1433,272,2572.964383,18.60970597,21.09111847,17.63312771,mix,25.0,mix,
1434,296,2915.397983,19.41336924,22.28113571,17.46746896,mix,25.0,mix,
1436,518,6554.933072,25.68147356,31.33327958,21.89900177,mix,25.0,mix,
1439,286,2561.183411,19.08262324,23.2965027,16.03523412,mix,25.0,mix,
1440,577,6634.258286,27.10459772,38.80404049,20.21342592,mix,25.0,mix,
1444,695,13879.556340000001,29.74729372,32.45190315,30.177940200000002,detritus,23.0,detritus,
1445,591,9594.423964,27.43145222,28.13946783,26.91633385,mix,25.0,mix,
1446,5382,48900.82813,82.78028286,508.67661960000004,14.30026063,Rhizosolenia,18.0,Rhizosolenia,149069.0
1448,603,9269.269123999999,27.70854463,32.68011453,24.93433126,detritus,23.0,detritus,
1449,270,2276.8692760000004,18.5411617,22.677156,15.43865725,mix,25.0,mix,
1450,298,1916.570557,19.47884453,31.37106675,16.48657344,detritus,23.0,detritus,
1455,588,9295.187264,27.36174067,28.82572373,26.17290158,mix,25.0,mix,
1456,536,8090.3864810000005,26.12386641,27.6522358,24.87402376,mix,25.0,mix,
1457,326,3500.5196140000003,20.3734163,22.79378273,18.9236042,mix,25.0,mix,
1458,6362,274355.2864,90.00194433,124.13355829999999,67.22665204,Gyrodinium,31.0,Gyrodinium,109476.0
1459,496,6089.1919609999995,25.13019726,30.96658491,21.23506929,mix,25.0,mix,
1460,14724,111527.4609,136.92033840000002,421.787442,54.729669799999996,Guinardia_striata,,,
1461,283,2790.519675,18.98227571,20.79213335,18.39951217,mix,25.0,mix,
1463,264,2210.89583,18.33399138,22.93356893,15.11489491,mix,25.0,mix,
