,name,international_id,resolved_names,taxon_level_fromid,taxon_name_fromid,higher_order_fromid,higher_order_id,data_source,resolved_id_fromgnr,taxon_function,resolved_taxon_level_fromgnr,resolved_higher_order_fromgnr,resolved_higher_order_id,name_match,id_match,higher_match,alt_datasource,alt_resolved_name
48,Dinophysis_tripos,NA,Dinophysis tripos,NA,NA,NA,NA,World Register of Marine Species,109662,worrms,species,Dinoflagellata,146203,FALSE,FALSE,FALSE,NCBI,Dinophysis tripos
49,Ditylum_brightwellii,NA,Ditylum brightwellii,NA,NA,NA,NA,World Register of Marine Species,149023,worrms,species,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
50,Emiliania_huxleyi,NA,Emiliania huxleyi,NA,NA,NA,NA,World Register of Marine Species,115104,worrms,species,Haptophyta,369190,FALSE,FALSE,FALSE,NCBI,Emiliania huxleyi
51,Ephemera,NA,Ephemera,NA,NA,NA,NA,World Register of Marine Species,291403,taxize,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
52,Eucampia,NA,Eucampia,NA,NA,NA,NA,World Register of Marine Species,149130,worrms,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
53,Euglena,NA,Euglena,NA,NA,NA,NA,World Register of Marine Species,8012,worrms,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
54,Euplotes_morphotype1,NA,Euplotes,NA,NA,NA,NA,World Register of Marine Species,179326,worrms,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
55,Euplotes,NA,Euplotes,NA,NA,NA,NA,World Register of Marine Species,179326,worrms,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
56,Eutintinnus,NA,Eutintinnus,NA,NA,NA,NA,World Register of Marine Species,183543,worrms,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
57,Favella,NA,Favella,NA,NA,NA,NA,World Register of Marine Species,172431,taxize,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
58,foraminifera,NA,Foraminifera,NA,NA,NA,NA,World Register of Marine Species,1410,worrms,phylum,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
59,Gonyaulax,NA,Gonyaulax,NA,NA,NA,NA,World Register of Marine Species,109519,worrms,genus,Dinoflagellata,146203,FALSE,FALSE,FALSE,NA,NA
60,Guinardia_delicatula,NA,Guinardia delicatula,NA,NA,NA,NA,World Register of Marine Species,149112,worrms,species,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
61,Guinardia_delicatula_TAG_external_parasite,NA,Guinardia delicatula,NA,NA,NA,NA,World Register of Marine Species,149112,worrms,species,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
62,Guinardia_delicatula_TAG_internal_parasite,NA,Guinardia delicatula,NA,NA,NA,NA,World Register of Marine Species,149112,worrms,species,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
63,Guinardia_flaccida,NA,Guinardia flaccida,NA,NA,NA,NA,World Register of Marine Species,149132,worrms,species,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
64,Guinardia_striata,NA,Guinardia striata,NA,NA,NA,NA,World Register of Marine Species,149113,taxize,species,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
65,Gyrodinium,NA,Gyrodinium,NA,NA,NA,NA,World Register of Marine Species,109476,worrms,genus,Dinoflagellata,146203,FALSE,FALSE,FALSE,NA,NA
66,Hemiaulus,NA,Hemiaulus,NA,NA,NA,NA,World Register of Marine Species,956056,taxize,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
67,Heterocapsa_rotundata,NA,Heterocapsa rotundata,NA,NA,NA,NA,World Register of Marine Species,110152,worrms,species,Dinoflagellata,146203,FALSE,FALSE,FALSE,NCBI,Heterocapsa rotundata
68,Heterocapsa_triquetra,NA,Heterocapsa triquetra,NA,NA,NA,NA,World Register of Marine Species,110153,worrms,species,Dinoflagellata,146203,FALSE,FALSE,FALSE,NCBI,Heterocapsa triquetra
69,Karenia,NA,Karenia,NA,NA,NA,NA,World Register of Marine Species,231788,worrms,genus,Dinoflagellata,146203,FALSE,FALSE,FALSE,NA,NA
70,Katodinium_or_Torodinium,NA,Katodinium,NA,NA,NA,NA,World Register of Marine Species,109477,worrms,genus,Dinoflagellata,146203,FALSE,FALSE,FALSE,NA,NA
71,Laboea_strobila,NA,Laboea strobila,NA,NA,NA,NA,World Register of Marine Species,101264,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
72,Lauderia_annulata,NA,Lauderia annulata,NA,NA,NA,NA,World Register of Marine Species,149135,worrms,species,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
73,Leegaardiella_ovalis,NA,Leegaardiella ovalis,NA,NA,NA,NA,World Register of Marine Species,101206,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
74,Leptocylindrus,NA,Leptocylindrus,NA,NA,NA,NA,World Register of Marine Species,149038,worrms,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
75,Leptocylindrus_mediterraneus,NA,Leptocylindrus mediterraneus,NA,NA,NA,NA,World Register of Marine Species,149230,worrms,species,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
76,Licmophora,NA,Licmophora,NA,NA,NA,NA,World Register of Marine Species,149342,worrms,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
77,Margalefidinium,NA,Margalefidinium,NA,NA,NA,NA,World Register of Marine Species,990875,worrms,genus,Dinoflagellata,146203,FALSE,FALSE,FALSE,NA,NA
78,Mesodinium,NA,Mesodinium,NA,NA,NA,NA,World Register of Marine Species,179320,worrms,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
79,Nanoneis,NA,Nanoneis,NA,NA,NA,NA,World Register of Marine Species,248179,worrms,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
80,Odontella,NA,Odontella,NA,NA,NA,NA,World Register of Marine Species,148963,worrms,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
81,Ophiaster,NA,Ophiaster,NA,NA,NA,NA,World Register of Marine Species,115081,worrms,genus,Haptophyta,369190,FALSE,FALSE,FALSE,NA,NA
82,Oxytoxum,NA,Oxytoxum,NA,NA,NA,NA,World Register of Marine Species,109528,worrms,genus,Dinoflagellata,146203,FALSE,FALSE,FALSE,NA,NA
83,Paralia_sulcata,NA,Paralia sulcata,NA,NA,NA,NA,World Register of Marine Species,149055,worrms,species,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
84,Parvicorbicula_socialis,NA,NA,species,Parvicorbicula socialis,"other than diatoms, dinoflagellates, or haptophytes",-6666,World Register of Marine Species,105588,worrms,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
85,Phaeocystis,NA,Phaeocystis,NA,NA,NA,NA,World Register of Marine Species,115088,worrms,genus,Haptophyta,369190,FALSE,FALSE,FALSE,NA,NA
86,Pleuronema,NA,Pleuronema,NA,NA,NA,NA,World Register of Marine Species,163556,worrms,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
87,Pleurosigma,NA,Pleurosigma,NA,NA,NA,NA,World Register of Marine Species,149181,worrms,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
88,Podolampas,NA,Podolampas,NA,NA,NA,NA,World Register of Marine Species,109550,worrms,genus,Dinoflagellata,146203,FALSE,FALSE,FALSE,NA,NA
89,Polykrikos,NA,Polykrikos,NA,NA,NA,NA,World Register of Marine Species,109485,worrms,genus,Dinoflagellata,146203,FALSE,FALSE,FALSE,NA,NA
90,Prorocentrum,NA,Prorocentrum,NA,NA,NA,NA,World Register of Marine Species,109566,worrms,genus,Dinoflagellata,146203,FALSE,FALSE,FALSE,NA,NA
91,Prorocentrum_micans,NA,Prorocentrum micans,NA,NA,NA,NA,World Register of Marine Species,110303,worrms,species,Dinoflagellata,146203,FALSE,FALSE,FALSE,NCBI,Prorocentrum micans
92,Prorocentrum_triestinum,NA,Prorocentrum triestinum,NA,NA,NA,NA,World Register of Marine Species,110316,worrms,species,Dinoflagellata,146203,FALSE,FALSE,FALSE,NCBI,Prorocentrum triestinum
93,Proterythropsis,NA,Proterythropsis,NA,NA,NA,NA,World Register of Marine Species,231794,worrms,species,Dinoflagellata,146203,FALSE,FALSE,FALSE,NA,NA
94,Protoperidinium,NA,Protoperidinium,NA,NA,NA,NA,World Register of Marine Species,109553,worrms,genus,Dinoflagellata,146203,FALSE,FALSE,FALSE,NA,NA
95,Pseudo-nitzschia,NA,Pseudo-nitzschia,NA,NA,NA,NA,World Register of Marine Species,149151,worrms,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
96,Pseudochattonella_farcimen,NA,Pseudochattonella farcimen,NA,NA,NA,NA,World Register of Marine Species,531467,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NCBI,Pseudochattonella farcimen
97,Pyramimonas,NA,Pyramimonas,NA,NA,NA,NA,World Register of Marine Species,134529,worrms,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
98,Pyramimonas_longicauda,NA,NA,species,Pyramimonas longicauda,"other than diatoms, dinoflagellates, or haptophytes",-6666,World Register of Marine Species,160513,worrms,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
99,Pyramimonas_morphotype1,NA,Pyramimonas,NA,NA,NA,NA,World Register of Marine Species,134529,worrms,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
100,Radiozoa,NA,Radiozoa,NA,NA,NA,NA,World Register of Marine Species,582421,worrms,phylum,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
101,Rhabdosphaera,NA,Rhabdosphaera,NA,NA,NA,NA,World Register of Marine Species,235966,worrms,species,Haptophyta,369190,FALSE,FALSE,FALSE,NA,NA
102,Rhizosolenia,NA,Rhizosolenia,NA,NA,NA,NA,World Register of Marine Species,149069,taxize,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
103,Scrippsiella,NA,Scrippsiella,NA,NA,NA,NA,World Register of Marine Species,109545,worrms,genus,Dinoflagellata,146203,FALSE,FALSE,FALSE,NA,NA
104,Skeletonema,NA,Skeletonema,NA,NA,NA,NA,World Register of Marine Species,149073,worrms,genus,Bacillariophyceae,148899,FALSE,FALSE,FALSE,NA,NA
105,Stenosemella_pacifica,NA,Stenosemella pacifica,NA,NA,NA,NA,World Register of Marine Species,417165,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
106,Stenosemella_morphotype1,NA,Stenosemella,NA,NA,NA,NA,World Register of Marine Species,178825,worrms,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
