pid,Asterionellopsis,Cerataulina,Ceratium,Chaetoceros,Corethron,Coscinodiscus,Cylindrotheca,DactFragCerataul,Dactyliosolen,Dictyocha,Dinobryon,Dinophysis,Ditylum,Ephemera,Eucampia,Euglena,Gonyaulax,Guinardia,Guinardia_flaccida,Guinardia_striata,Gyrodinium,Hemiaulus,Laboea,Lauderia,Leptocylindrus,Licmophora,Myrionecta,Odontella,Paralia,Phaeocystis,Pleurosigma,Prorocentrum,Pseudonitzschia,Pyramimonas,Rhizosolenia,Skeletonema,Stephanopyxis,Thalassionema,Thalassiosira,Thalassiosira_dirty,bad,ciliate_mix,clusterflagellate,detritus,dino30,kiteflagellates,mix,mix_elongated,pennate,tintinnid
D20180213T234223_IFCB010_01756,0.006667,0.003333,0.0,0.150000,0.0,0.0,0.0,0.0,0.003333,0.0,0.010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000,0.0,0.0,0.0,0.0,0.016667,0.003333,0.0,0.283333,0.010000,0.0,0.383333,0.106667,0.003333,0.0
D20180213T234223_IFCB010_01757,0.0,0.006667,0.0,0.090000,0.0,0.0,0.0,0.0,0.006667,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046667,0.0,0.0,0.0,0.0,0.013333,0.0,0.0,0.210000,0.010000,0.003333,0.446667,0.143333,0.013333,0.0
D20180213T234223_IFCB010_01759,0.003333,0.0,0.0,0.140000,0.0,0.0,0.006667,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006667,0.0,0.0,0.0,0.003333,0.0,0.020000,0.0,0.0,0.0,0.0,0.023333,0.0,0.0,0.243333,0.006667,0.003333,0.343333,0.170000,0.023333,0.0
D20180213T234223_IFCB010_01760,0.020000,0.003333,0.0,0.190000,0.0,0.0,0.0,0.0,0.016667,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023333,0.0,0.0,0.006667,0.0,0.0,0.0,0.016667,0.0,0.020000,0.0,0.0,0.016667,0.0,0.010000,0.010000,0.013333,0.230000,0.136667,0.006667,0.263333,0.010000,0.003333,0.0
D20180213T234223_IFCB010_01761,0.0,0.0,0.0,0.043333,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006667,0.0,0.0,0.0,0.0,0.016667,0.0,0.0,0.220000,0.006667,0.0,0.670000,0.033333,0.0,0.0
D20180213T234223_IFCB010_01762,0.0,0.0,0.0,0.090000,0.0,0.0,0.003333,0.0,0.006667,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000,0.0,0.003333,0.0,0.010000,0.0,0.0,0.003333,0.0,0.006667,0.0,0.0,0.213333,0.010000,0.006667,0.526667,0.096667,0.006667,0.0
D20180213T234223_IFCB010_01763,0.003333,0.003333,0.0,0.096667,0.0,0.0,0.0,0.0,0.003333,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000,0.0,0.0,0.013333,0.0,0.0,0.0,0.0,0.143333,0.030000,0.003333,0.606667,0.056667,0.013333,0.0
D20180213T234223_IFCB010_01764,0.0,0.003333,0.0,0.016667,0.010000,0.0,0.0,0.0,0.0,0.003333,0.0,0.003333,0.003333,0.0,0.003333,0.010000,0.0,0.0,0.0,0.0,0.033333,0.0,0.0,0.0,0.0,0.003333,0.090000,0.0,0.0,0.0,0.0,0.023333,0.0,0.026667,0.0,0.0,0.0,0.0,0.290000,0.0,0.0,0.006667,0.136667,0.026667,0.286667,0.0,0.023333,0.0,0.0,0.0
D20180213T234223_IFCB010_01767,0.0,0.0,0.0,0.070000,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.003333,0.0,0.0,0.0,0.0,0.026667,0.0,0.0,0.120000,0.013333,0.0,0.743333,0.016667,0.0,0.0
D20180213T234223_IFCB010_01769,0.0,0.003333,0.0,0.096667,0.0,0.0,0.0,0.0,0.006667,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000,0.0,0.0,0.0,0.0,0.023333,0.0,0.0,0.230000,0.013333,0.006667,0.536667,0.060000,0.0,0.0
D20180213T234223_IFCB010_01770,0.033333,0.0,0.0,0.146667,0.0,0.0,0.0,0.003333,0.016667,0.0,0.040000,0.0,0.0,0.0,0.016667,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.003333,0.006667,0.0,0.0,0.010000,0.0,0.0,0.0,0.056667,0.0,0.020000,0.0,0.016667,0.006667,0.0,0.013333,0.003333,0.0,0.446667,0.006667,0.036667,0.080000,0.033333,0.0,0.0
D20180213T234223_IFCB010_01773,0.016667,0.0,0.0,0.006667,0.013333,0.0,0.0,0.0,0.0,0.046667,0.006667,0.006667,0.0,0.0,0.020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.146667,0.0,0.003333,0.006667,0.0,0.0,0.0,0.210000,0.0,0.0,0.0,0.006667,0.0,0.006667,0.0,0.223333,0.046667,0.176667,0.016667,0.016667,0.010000,0.003333,0.0,0.006667
D20180213T234223_IFCB010_01774,0.0,0.0,0.0,0.100000,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.003333,0.0,0.0,0.0,0.0,0.013333,0.0,0.0,0.293333,0.010000,0.0,0.526667,0.046667,0.0,0.0
D20180213T234223_IFCB010_01777,0.003333,0.0,0.0,0.073333,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023333,0.0,0.0,0.323333,0.010000,0.0,0.520000,0.043333,0.0,0.0
D20180213T234223_IFCB010_01778,0.003333,0.0,0.0,0.110000,0.0,0.0,0.0,0.0,0.006667,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000,0.0,0.0,0.0,0.0,0.026667,0.0,0.0,0.236667,0.003333,0.003333,0.543333,0.050000,0.0,0.0
D20180213T234223_IFCB010_01780,0.013333,0.033333,0.016667,0.053333,0.0,0.0,0.020000,0.036667,0.056667,0.0,0.050000,0.0,0.020000,0.0,0.0,0.016667,0.0,0.016667,0.0,0.006667,0.0,0.223333,0.0,0.0,0.060000,0.0,0.003333,0.006667,0.0,0.013333,0.013333,0.006667,0.066667,0.003333,0.043333,0.130000,0.0,0.013333,0.0,0.003333,0.010000,0.0,0.0,0.006667,0.0,0.006667,0.0,0.040000,0.010000,0.0
D20180213T234223_IFCB010_01781,0.006667,0.0,0.0,0.113333,0.0,0.0,0.006667,0.003333,0.003333,0.0,0.030000,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333,0.0,0.013333,0.0,0.026667,0.0,0.0,0.0,0.0,0.006667,0.0,0.006667,0.173333,0.046667,0.040000,0.383333,0.116667,0.006667,0.0
D20180213T234223_IFCB010_01784,0.010000,0.003333,0.0,0.193333,0.0,0.0,0.0,0.0,0.006667,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.010000,0.0,0.0,0.0,0.0,0.033333,0.0,0.0,0.270000,0.040000,0.006667,0.390000,0.030000,0.0,0.0
D20180213T234223_IFCB010_01787,0.013333,0.023333,0.0,0.123333,0.0,0.0,0.010000,0.003333,0.003333,0.0,0.056667,0.0,0.0,0.0,0.006667,0.010000,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.010000,0.016667,0.0,0.0,0.0,0.0,0.020000,0.0,0.016667,0.0,0.013333,0.0,0.0,0.010000,0.0,0.003333,0.006667,0.0,0.120000,0.026667,0.046667,0.200000,0.216667,0.040000,0.0
D20180213T234223_IFCB010_01788,0.0,0.066667,0.0,0.023333,0.016667,0.0,0.0,0.103333,0.003333,0.0,0.0,0.0,0.003333,0.083333,0.003333,0.030000,0.0,0.096667,0.0,0.003333,0.040000,0.0,0.0,0.0,0.0,0.020000,0.010000,0.0,0.123333,0.0,0.0,0.046667,0.0,0.003333,0.0,0.003333,0.0,0.0,0.076667,0.0,0.0,0.0,0.010000,0.003333,0.066667,0.016667,0.0,0.096667,0.050000,0.0
