Unnamed: 0,name,international_id,resolved_names,taxon_level_fromid,taxon_name_fromid,higher_order_fromid,higher_order_id,data_source,resolved_id_fromgnr,resolved_taxon_level_fromgnr,resolved_higher_order_fromgnr,resolved_higher_order_id,name_match,id_match,higher_match,alt_datasource,alt_resolved_name
47,Stenosemella sp1,,Stenosemella,,,,,World Register of Marine Species,178825.0,genus,other,-6666.0,False,False,False,,
48,Protoperidinium,,Protoperidinium,,,,,World Register of Marine Species,109553.0,genus,Dinoflagellata,146203.0,False,False,False,,
49,flagellate sp3,,,,,,,,,,,,False,False,False,,
50,Emiliania huxleyi,,Emiliania huxleyi,,,,,World Register of Marine Species,115104.0,species,Haptophyta,369190.0,False,False,False,NCBI,Emiliania huxleyi
51,Stephanopyxis,,Stephanopyxis,,,,,World Register of Marine Species,149630.0,genus,Bacillariophyceae,148899.0,False,False,False,,
52,Bacteriastrum,,Bacteriastrum,,,,,World Register of Marine Species,149118.0,genus,Bacillariophyceae,148899.0,False,False,False,,
53,Mesodinium,,Mesodinium,,,,,World Register of Marine Species,179320.0,genus,other,-6666.0,False,False,False,,
54,Dinophysis,,Dinophysis,,,,,World Register of Marine Species,109462.0,genus,Dinoflagellata,146203.0,False,False,False,,
55,Leptocylindrus mediterraneus,,Leptocylindrus mediterraneus,,,,,World Register of Marine Species,149230.0,species,Bacillariophyceae,148899.0,False,False,False,,
56,Calciopappus,,Calciopappus,,,,,World Register of Marine Species,235924.0,species,Haptophyta,369190.0,False,False,False,,
57,Ophiaster,,Ophiaster,,,,,World Register of Marine Species,115081.0,genus,Haptophyta,369190.0,False,False,False,,
58,amoeba,,Amoeba,,,,,World Register of Marine Species,120533.0,genus,other,-6666.0,False,False,False,,
59,Pleuronema,,Pleuronema,,,,,World Register of Marine Species,163556.0,genus,other,-6666.0,False,False,False,,
60,Ephemera,,Ephemera,,,,,World Register of Marine Species,291403.0,genus,Bacillariophyceae,148899.0,False,False,False,,
61,Euglena,,Euglena,,,,,World Register of Marine Species,8012.0,genus,other,-6666.0,False,False,False,,
62,Chaetoceros debilis,,Chaetoceros debilis,,,,,World Register of Marine Species,149219.0,species,Bacillariophyceae,148899.0,False,False,False,,
63,Acanthoica quattrospina,,,,,,,,,,,,False,False,False,,
64,Lauderia annulata,,Lauderia annulata,,,,,World Register of Marine Species,149135.0,species,Bacillariophyceae,148899.0,False,False,False,,
65,zooplankton,,,,,,,,,,,,False,False,False,,
66,Radiozoa,,Radiozoa,,,,,World Register of Marine Species,450770.0,class,other,-6666.0,False,False,False,,
67,Odontella,,Odontella,,,,,World Register of Marine Species,148963.0,genus,Bacillariophyceae,148899.0,False,False,False,,
68,Licmophora,,Licmophora,,,,,World Register of Marine Species,149342.0,genus,Bacillariophyceae,148899.0,False,False,False,,
69,Heterocapsa triquetra,,Heterocapsa triquetra,,,,,World Register of Marine Species,110153.0,species,Dinoflagellata,146203.0,False,False,False,NCBI,Heterocapsa triquetra
70,Chaetoceros danicus,,Chaetoceros danicus,,,,,World Register of Marine Species,149120.0,species,Bacillariophyceae,148899.0,False,False,False,,
71,Eucampia,,Eucampia,,,,,World Register of Marine Species,149130.0,genus,Bacillariophyceae,148899.0,False,False,False,,
